depth,min gas(cf),AL80 (TF:2.5) PSI,2xAL80 (TF:5.0) PSI,Time to next gas (min)
70,9,500,500,2
80,15,600,500,3
90,20,800,500,4
100,27,1000,500,5
110,33,1300,600,6
120,40,1600,800,7
130,48,1900,900,8
140,56,2200,1100,9
150,65,2600,1300,10
160,73,2900,1400,11
170,84,0,1600,12
